Year,Pitchers
2021,http://bbref.com/pi/shareit/A7XIS
2020,http://bbref.com/pi/shareit/q4eqh
2019,http://bbref.com/pi/shareit/yNDVz
2018,http://bbref.com/pi/shareit/DKK54
2017,http://bbref.com/pi/shareit/VeNq2
2016,http://bbref.com/pi/shareit/In3NW
2015,http://bbref.com/pi/shareit/Zr9h4
2014,http://bbref.com/pi/shareit/4gD6F
2013,http://bbref.com/pi/shareit/OpSlG
2012,http://bbref.com/pi/shareit/nM2eI
2011,http://bbref.com/pi/shareit/Eql0l
